size type  blanks  precomp  comp_time  postcomp
6 3 25 39.5483489037 2.96164298058 14.0551979542
6 3 25 39.0985989571 3.03760290146 13.6755080223
6 3 25 38.2348139286 2.74911880493 14.5152580738
6 4 25 37.7000398636 2.79063391685 14.1198611259
6 4 25 40.2052228451 2.88804006577 14.4437580109
6 4 25 41.0255999565 2.84073090553 14.4442880154
6 5 25 38.5749559402 2.86051893234 14.7412419319
6 5 25 38.6953241825 2.75582480431 13.7303960323
6 5 25 38.2019431591 3.6953420639 14.2077879906
6 6 25 38.3192541599 2.77675580978 14.6302540302
6 6 25 38.3297979832 2.88327002525 13.9366838932
6 6 25 39.9067151546 2.81273698807 14.035574913
6 1 26 38.5631809235 2.8909330368 15.4389300346
6 1 26 39.4821989536 2.79430389404 14.8396689892
6 1 26 40.0367100239 3.38081789017 14.2812030315
6 2 26 39.5524230003 2.81794214249 13.9927840233
6 2 26 39.039249897 2.98760008812 14.8530330658
6 2 26 38.7452139854 2.77751898766 13.6260008812
6 3 26 39.6659071445 2.77377200127 14.1072669029
6 3 26 37.9883592129 2.81064009666 14.5818920135
6 3 26 39.0950028896 2.80801510811 14.1967260838
6 4 26 40.2956900597 3.14543199539 14.6262309551
6 4 26 40.4868080616 3.60116577148 14.6779739857
6 4 26 40.7330918312 2.80973291397 14.9196999073
6 5 26 38.8693759441 2.84541201591 14.350189209
6 5 26 40.4943199158 2.87573695183 14.1455359459
6 5 26 39.1072239876 3.11687016487 14.7056341171
6 6 26 39.6640369892 2.84665703773 14.9985489845
6 6 26 40.1816980839 2.89944601059 14.3007929325
6 6 26 40.128485918 2.86952495575 14.1902279854
6 1 27 39.4481260777 2.91697192192 14.856415987
6 1 27 38.7954449654 2.84486699104 14.8944959641
6 1 27 39.6583349705 2.81992888451 13.9800598621
6 2 27 39.351446867 2.76834416389 13.8359050751
6 2 27 39.3446290493 2.88460111618 15.0042200089
6 2 27 39.2725760937 2.84018588066 14.9153170586
6 3 27 38.9722490311 2.96520495415 13.9700899124
6 3 27 39.6162109375 3.82789206505 13.8434281349
6 3 27 38.2357280254 2.86513805389 14.8549199104
6 4 27 39.104241848 2.77228808403 13.8675608635
6 4 27 41.9264740944 2.92437410355 14.8201801777
6 4 27 43.1687681675 3.2029800415 15.0323870182
6 5 27 40.5751700401 2.89576005936 15.8340389729
6 5 27 42.2002289295 2.86651802063 15.9601538181
6 5 27 40.2217040062 2.90474295616 13.9700021744
6 6 27 39.4561350346 2.84942007065 13.9958441257
6 6 27 41.9725549221 3.71059298515 13.9368729591
6 6 27 39.411028862 3.15464711189 15.4522621632
6 1 28 40.410435915 2.82953596115 14.443903923
6 1 28 40.6277890205 2.97778201103 14.1015310287
6 1 28 38.9441399574 3.71846008301 13.9250841141
6 2 28 38.4527390003 2.88490414619 14.6985590458
6 2 28 38.2141711712 2.80860185623 14.0457010269
6 2 28 40.5788080692 2.86726117134 14.1452410221
6 3 28 38.6150271893 2.83867096901 14.7921609879
6 3 28 39.0699789524 2.83186197281 14.7425401211
6 3 28 39.132625103 2.93903708458 14.3224329948
